"eventNumb","eventLabels","eventOnset","eventOffset","eventAnswer"
"01","X","32","196","196"
"02","13","272","320","335"
"03","25","1045","1201","1216"
"04","SNF","1764","1764","1764"
"05","39","1856","2079","2093"
"06","C46","2625","2825","2837"
"07","R35","3494","3636","3648"
"08","SNF","3951","3951","3951"
"09","SNF","4293","4293","4293"
"10","C47","4337","4501","4511"
"11","R33","5104","5207","5219"
"12","C48","5881","6076","6088"
"13","26","6653","6785","6803"
"14","XX","7417","7483","7483"
