score,ways,pmf,cdf,cdfContCor,odds,oddsLL05
-24,9915,.0008*,0.0023,0.0019,518.7,21.4
-23,10248,0.0011,0.0034,0.0028,352.2,20.18
-22,10572,0.0015,0.0048,0.0041,242.7,18.69
-21,10888,0.002,0.0069,0.0059,169.7,16.95
-20,11193,0.0027,0.0096,0.0082,120.4,17.25
-19,11488,0.0036,0.0132,0.0114,86.55,14.98
-18,11770,0.0047,0.0179,0.0156,63.05,13.98
-17,12040,0.0061,0.0239,0.021,46.52,12.51
-16,12295,0.0077,0.0316,0.028,34.75,10.89
-15,12536,0.0097,0.0411,0.0367,26.26,9.29
-14,12760,0.0119,0.0527,0.0475,20.06,8.05
-13,12970,0.0144,0.0668,0.0607,15.49,6.83
-12,13163,0.0172,0.0835,0.0765,12.07,5.74
-11,13342,0.0202,0.1031,0.0953,9.5,4.85
-10,13504,0.0235,0.1257,0.1172,7.53,4.06
-9,13652,0.0269,0.1514,0.1424,6.02,3.41
-8,13783,0.0303,0.1803,0.171,4.85,2.85
-7,13900,0.0336,0.2122,0.203,3.93,2.39
-6,14000,0.0369,0.2471,0.2383,3.2,2
-5,14086,0.0398,0.2847,0.2766,2.62,1.67
-4,14155,0.0424,0.3247,0.3177,2.15,1.39
-3,14210,0.0446,0.3667,0.3611,1.77,1.16
-2,14248,0.0461,0.4102,0.4064,1.46,0.97
-1,14272,0.0471,0.4548,0.4529,1.21,0.8
0,14279,0.0475,0.5,0.5,1,0.67
1,14272,0.0471,0.5452,0.5471,1.21,0.8
2,14248,0.0461,0.5898,0.5936,1.46,0.97
3,14210,0.0446,0.6333,0.6389,1.77,1.16
4,14155,0.0424,0.6753,0.6823,2.15,1.39
5,14086,0.0398,0.7153,0.7234,2.62,1.67
6,14000,0.0369,0.7529,0.7617,3.2,2
7,13900,0.0336,0.7878,0.797,3.93,2.39
8,13783,0.0303,0.8197,0.829,4.85,2.85
9,13652,0.0269,0.8486,0.8576,6.02,3.41
10,13504,0.0235,0.8743,0.8828,7.53,4.06
11,13342,0.0202,0.8969,0.9047,9.5,4.85
12,13163,0.0172,0.9165,0.9235,12.07,5.74
13,12970,0.0144,0.9332,0.9393,15.49,6.83
14,12760,0.0119,0.9473,0.9525,20.06,8.05
15,12536,0.0097,0.959,0.9633,26.26,9.29
16,12295,0.0077,0.9685,0.972,34.75,10.89
17,12040,0.0061,0.9761,0.979,46.52,12.51
18,11770,0.0047,0.9821,0.9844,63.05,13.98
19,11488,0.0036,0.9868,0.9886,86.55,14.98
20,11193,0.0027,0.9904,0.9918,120.4,17.25
21,10888,0.002,0.9931,0.9941,169.7,16.95
22,10572,0.0015,0.9952,0.9959,242.7,18.69
23,10248,0.0011,0.9966,0.9972,352.2,20.18
24,9915,.0008*,0.9977,0.9981,518.7,21.4
