score,ways,pmf,cdf,cdfContCor,odds,oddsM,oddsLL05,oddsMLL05
-15,161,.0005*,0.0009,0.0007,1517,11.49,7.71,3.32
-14,200,0.0011,0.002,0.0015,682.2,8.8,7.56,2.84
-13,243,0.0021,0.0041,0.003,328.4,6.9,7.27,2.42
-12,287,0.0037,0.0077,0.0059,168,5.52,6.79,2.07
-11,333,0.0062,0.0139,0.0109,90.88,4.5,6.1,1.81
-10,378,0.0099,0.0236,0.019,51.67,3.73,5.22,1.56
-9,423,0.015,0.0383,0.0315,30.72,3.13,4.84,1.37
-8,465,0.0216,0.0592,0.05,19.01,2.67,4.11,1.19
-7,505,0.0297,0.0875,0.0758,12.19,2.3,3.3,1.05
-6,540,0.0389,0.1242,0.1104,8.06,2.01,2.66,0.93
-5,571,0.0489,0.1697,0.1546,5.47,1.76,2.06,0.83
-4,595,0.0588,0.2236,0.2087,3.79,1.56,1.58,0.74
-3,615,0.0678,0.2852,0.272,2.68,1.39,1.19,0.66
-2,628,0.075,0.3531,0.3432,1.91,1.24,0.89,0.59
-1,637,0.0797,0.4254,0.4201,1.38,1.11,0.65,0.53
0,639,0.0814,0.5,0.5,1,1,0.48,0.48
1,637,0.0797,0.5746,0.5799,1.38,2.63,0.65,1.18
2,628,0.075,0.6469,0.6568,1.91,7.01,0.89,2.45
3,615,0.0678,0.7148,0.728,2.68,19.17,1.19,4.13
4,595,0.0588,0.7764,0.7913,3.79,54.52,1.58,5.31
5,571,0.0489,0.8303,0.8454,5.47,163.4,2.06,6.77
6,540,0.0389,0.8758,0.8896,8.06,522.8,2.66,7.47
7,505,0.0297,0.9125,0.9242,12.19,1810,3.3,7.73
8,465,0.0216,0.9408,0.95,19.01,6870,4.11,7.82
9,423,0.015,0.9617,0.9685,30.72,28990,4.84,7.84
10,378,0.0099,0.9764,0.981,51.67,137900,5.22,7.84
11,333,0.0062,0.9861,0.9891,90.88,750600,6.1,7.85
12,287,0.0037,0.9923,0.9941,168,4745000,6.79,7.85
13,243,0.0021,0.9959,0.997,328.4,35400000,7.27,7.85
14,200,0.0011,0.998,0.9985,682.2,317000000,7.56,7.85
15,161,.0005*,0.9991,0.9993,1517,3490000000,7.71,7.85
