"examName","chartName","Event","Label","Begin","End","Answer"
"PF090316","1_01A","01","X","42","103","103"
"PF090316","1_01A","02","13","303","354","367"
"PF090316","1_01A","03","25","1073","1239","1256"
"PF090316","1_01A","04","39","1838","2049","2064"
"PF090316","1_01A","05","C46","2613","2814","2827"
"PF090316","1_01A","06","R33","3388","3496","3514"
"PF090316","1_01A","07","C47","4155","4318","4344"
"PF090316","1_01A","08","R35","4925","5060","5078"
"PF090316","1_01A","09","C48","5696","5882","5896"
"PF090316","1_01A","10","26","6463","6586","6601"
"PF090316","1_01A","11","XX","7239","7314","7314"
"PF090316","1_02A","01","X","32","196","196"
"PF090316","1_02A","02","13","272","320","335"
"PF090316","1_02A","03","25","1045","1201","1216"
"PF090316","1_02A","04","SNF","1764","1764","1764"
"PF090316","1_02A","05","39","1856","2079","2093"
"PF090316","1_02A","06","C46","2625","2825","2837"
"PF090316","1_02A","07","R35","3494","3636","3648"
"PF090316","1_02A","08","SNF","3951","3951","3951"
"PF090316","1_02A","09","SNF","4293","4293","4293"
"PF090316","1_02A","10","C47","4337","4501","4511"
"PF090316","1_02A","11","R33","5104","5207","5219"
"PF090316","1_02A","12","C48","5881","6076","6088"
"PF090316","1_02A","13","26","6653","6785","6803"
"PF090316","1_02A","14","XX","7417","7483","7483"
"PF090316","1_03A","01","X","16","136","136"
"PF090316","1_03A","02","13","159","208","219"
"PF090316","1_03A","03","25","930","1089","1108"
"PF090316","1_03A","04","39","1695","1899","1915"
"PF090316","1_03A","05","C46","2474","2646","2661"
"PF090316","1_03A","06","R33","3243","3354","3372"
"PF090316","1_03A","07","C47","4009","4161","4179"
"PF090316","1_03A","08","R35","4855","4986","4998"
"PF090316","1_03A","09","C48","5621","5788","5807"
"PF090316","1_03A","10","26","6384","6497","6524"
"PF090316","1_03A","11","XX","7161","7221","7221"
