"examName","chartName","Event","Label","Statement"
"PF090316","1_01A","01","X","X"
"PF090316","1_01A","02","13","13"
"PF090316","1_01A","03","25","25"
"PF090316","1_01A","04","39","39"
"PF090316","1_01A","05","C46","C46"
"PF090316","1_01A","06","R33","R33"
"PF090316","1_01A","07","C47","C47"
"PF090316","1_01A","08","R35","R35"
"PF090316","1_01A","09","C48","C48"
"PF090316","1_01A","10","26","26"
"PF090316","1_01A","11","XX","XX"
"PF090316","1_02A","01","X","X"
"PF090316","1_02A","02","13","13"
"PF090316","1_02A","03","25","25"
"PF090316","1_02A","04","SNF","SNF"
"PF090316","1_02A","05","39","39"
"PF090316","1_02A","06","C46","C46"
"PF090316","1_02A","07","R35","R35"
"PF090316","1_02A","08","SNF","SNF"
"PF090316","1_02A","09","SNF","SNF"
"PF090316","1_02A","10","C47","C47"
"PF090316","1_02A","11","R33","R33"
"PF090316","1_02A","12","C48","C48"
"PF090316","1_02A","13","26","26"
"PF090316","1_02A","14","XX","XX"
"PF090316","1_03A","01","X","X"
"PF090316","1_03A","02","13","13"
"PF090316","1_03A","03","25","25"
"PF090316","1_03A","04","39","39"
"PF090316","1_03A","05","C46","C46"
"PF090316","1_03A","06","R33","R33"
"PF090316","1_03A","07","C47","C47"
"PF090316","1_03A","08","R35","R35"
"PF090316","1_03A","09","C48","C48"
"PF090316","1_03A","10","26","26"
"PF090316","1_03A","11","XX","XX"
