"","permutationScore","n","nRev","nSmooth","pmf","cdf","cdfContCor"
"1",-108,1,1,1,3.3e-08,3.3e-08,2.5e-08
"2",-107,1,1,1,3.3e-08,6.6e-08,5e-08
"3",-106,1,1,1,3.3e-08,9.9e-08,8.2e-08
"4",-105,1,1,1,3.3e-08,1.32e-07,1.16e-07
"5",-104,1,1,1,3.3e-08,1.65e-07,1.48e-07
"6",-103,1,1,1,3.3e-08,1.98e-07,1.82e-07
"7",-102,1,1,1,3.3e-08,2.31e-07,2.14e-07
"8",-101,1,1,1,3.3e-08,2.64e-07,2.47e-07
"9",-100,1,1,1,3.3e-08,2.97e-07,2.8e-07
"10",-99,1,1,1,3.3e-08,3.3e-07,3.14e-07
"11",-98,1,1,1,3.3e-08,3.63e-07,3.46e-07
"12",-97,1,1,1,3.3e-08,3.96e-07,3.8e-07
"13",-96,1,1,1,3.3e-08,4.29e-07,4.12e-07
"14",-95,1,1,1,3.3e-08,4.62e-07,4.46e-07
"15",-94,1,1,1,3.3e-08,4.95e-07,4.78e-07
"16",-93,1,1,1,3.3e-08,5.28e-07,5.12e-07
"17",-92,1,1,1,3.3e-08,5.61e-07,5.44e-07
"18",-91,1,1,1,3.3e-08,5.94e-07,5.78e-07
"19",-90,1,1,1,3.3e-08,6.27e-07,6.1e-07
"20",-89,1,1,1,3.3e-08,6.6e-07,6.44e-07
"21",-88,1,1,1,3.3e-08,6.93e-07,6.76e-07
"22",-87,1,1,1,3.3e-08,7.26e-07,7.09e-07
"23",-86,1,1,1,3.3e-08,7.59e-07,7.42e-07
"24",-85,1,1,1,3.3e-08,7.92e-07,7.76e-07
"25",-84,1,1,1,3.3e-08,8.25e-07,8.08e-07
"26",-83,1,1,1,3.3e-08,8.58e-07,8.42e-07
"27",-82,1,1,1,3.3e-08,8.91e-07,8.74e-07
"28",-81,1,1,1,3.3e-08,9.24e-07,9.08e-07
"29",-80,1,1,1,3.3e-08,9.57e-07,9.4e-07
"30",-79,1,1,1,3.3e-08,9.9e-07,9.74e-07
"31",-78,1,1,1,3.3e-08,1.023e-06,1.006e-06
"32",-77,1,2,1.5,5e-08,1.073e-06,1.048e-06
"33",-76,1,1,1,3.3e-08,1.106e-06,1.09e-06
"34",-75,1,2,1.5,5e-08,1.156e-06,1.131e-06
"35",-74,1,6,3.5,1.17e-07,1.273e-06,1.214e-06
"36",-73,1,11,6,2e-07,1.473e-06,1.373e-06
"37",-72,1,13,7,2.33e-07,1.706e-06,1.59e-06
"38",-71,1,16,8.5,2.83e-07,1.989e-06,1.848e-06
"39",-70,2,25,13.5,4.5e-07,2.439e-06,2.214e-06
"40",-69,1,27,14,4.67e-07,2.906e-06,2.672e-06
"41",-68,2,44,23,7.67e-07,3.673e-06,3.289e-06
"42",-67,6,53,29.5,9.83e-07,4.656e-06,4.164e-06
"43",-66,11,70,40.5,1.35e-06,6.006e-06,5.331e-06
"44",-65,13,104,58.5,1.95e-06,7.956e-06,6.981e-06
"45",-64,16,154,85,2.833e-06,1.0789e-05,9.372e-06
"46",-63,25,208,116.5,3.883e-06,1.4672e-05,1.273e-05
"47",-62,27,282,154.5,5.15e-06,1.9822e-05,1.7247e-05
"48",-61,44,361,202.5,6.75e-06,2.6572e-05,2.3197e-05
"49",-60,53,512,282.5,9.417e-06,3.5989e-05,3.128e-05
"50",-59,70,629,349.5,1.165e-05,4.7639e-05,4.1814e-05
"51",-58,104,840,472,1.5733e-05,6.3372e-05,5.5506e-05
"52",-57,154,1143,648.5,2.1617e-05,8.4989e-05,7.418e-05
"53",-56,208,1501,854.5,2.8483e-05,0.000113472,9.923e-05
"54",-55,282,1871,1076.5,3.5883e-05,0.000149355,0.000131414
"55",-54,361,2452,1406.5,4.6883e-05,0.000196238,0.000172796
"56",-53,512,2994,1753,5.8433e-05,0.000254671,0.000225454
"57",-52,629,3930,2279.5,7.5983e-05,0.000330654,0.000292662
"58",-51,840,5022,2931,9.77e-05,0.000428354,0.000379504
"59",-50,1143,6204,3673.5,0.00012245,0.000550804,0.000489579
"60",-49,1501,7712,4606.5,0.000153549,0.000704353,0.000627578
"61",-48,1871,9524,5697.5,0.000189916,0.000894269,0.000799311
"62",-47,2452,11796,7124,0.000237466,0.001131735,0.001013002
"63",-46,2994,14224,8609,0.000286966,0.001418701,0.001275218
"64",-45,3930,17347,10638.5,0.000354615,0.001773316,0.001596008
"65",-44,5022,21147,13084.5,0.000436149,0.002209465,0.00199139
"66",-43,6204,25334,15769,0.000525632,0.002735097,0.002472281
"67",-42,7712,30233,18972.5,0.000632415,0.003367512,0.003051304
"68",-41,9524,35738,22631,0.000754364,0.004121876,0.003744694
"69",-40,11796,42650,27223,0.00090743,0.005029306,0.004575591
"70",-39,14224,50017,32120.5,0.00107068,0.006099986,0.005564646
"71",-38,17347,58980,38163.5,0.001272112,0.007372098,0.006736042
"72",-37,21147,67987,44567,0.001485562,0.00885766,0.008114879
"73",-36,25334,79316,52325,0.001744161,0.010601821,0.00972974
"74",-35,30233,91334,60783.5,0.00202611,0.012627931,0.011614876
"75",-34,35738,104753,70245.5,0.002341509,0.01496944,0.013798686
"76",-33,42650,119282,80966,0.002698858,0.017668298,0.016318869
"77",-32,50017,136212,93114.5,0.003103806,0.020772104,0.019220201
"78",-31,58980,153764,106372,0.003545721,0.024317825,0.022544964
"79",-30,67987,173690,120838.5,0.004027936,0.028345761,0.026331793
"80",-29,79316,194261,136788.5,0.004559601,0.032905362,0.030625562
"81",-28,91334,216684,154009,0.005133616,0.038038978,0.03547217
"82",-27,104753,240023,172388,0.005746247,0.043785225,0.040912102
"83",-26,119282,265709,192495.5,0.006416495,0.05020172,0.046993472
"84",-25,136212,291989,214100.5,0.007136659,0.057338379,0.05377005
"85",-24,153764,320084,236924,0.00789744,0.065235819,0.061287099
"86",-23,173690,348806,261248,0.008708237,0.073944056,0.069589938
"87",-22,194261,377686,285973.5,0.009532418,0.083476474,0.078710265
"88",-21,216684,408718,312701,0.010423332,0.093899806,0.08868814
"89",-20,240023,439261,339642,0.011321362,0.105221168,0.099560487
"90",-19,265709,469969,367839,0.012261259,0.117482427,0.111351798
"91",-18,291989,502498,397243.5,0.013241405,0.130723832,0.12410313
"92",-17,320084,532573,426328.5,0.014210902,0.144934734,0.137829283
"93",-16,348806,563276,456041,0.015201315,0.160136049,0.152535392
"94",-15,377686,593136,485411,0.016180312,0.176316361,0.168226205
"95",-14,408718,622176,515447,0.017181509,0.19349787,0.184907116
"96",-13,439261,649131,544196,0.018139806,0.211637676,0.202567773
"97",-12,469969,672936,571452.5,0.019048353,0.230686029,0.221161852
"98",-11,502498,697858,600178,0.020005866,0.250691895,0.240688962
"99",-10,532573,718463,625518,0.02085053,0.271542425,0.26111716
"100",-9,563276,736583,649929.5,0.021664244,0.293206669,0.282374547
"101",-8,593136,751962,672549,0.022418225,0.315624894,0.304415782
"102",-7,622176,765885,694030.5,0.023134272,0.338759166,0.32719203
"103",-6,649131,774176,711653.5,0.023721703,0.362480869,0.350620018
"104",-5,672936,781469,727202.5,0.024240002,0.386720871,0.37460087
"105",-4,697858,785187,741522.5,0.024717333,0.411438204,0.399079538
"106",-3,718463,785187,751825,0.025060749,0.436498953,0.423968578
"107",-2,736583,781469,759026,0.025300781,0.461799734,0.449149344
"108",-1,751962,774176,763069,0.025435548,0.487235282,0.474517508
"109",0,765885,765885,765885,0.025529414,0.512764696,0.499999989
"110",1,774176,751962,763069,0.025435548,0.538200244,0.47451753
"111",2,781469,736583,759026,0.025300781,0.563501025,0.449149366
"112",3,785187,718463,751825,0.025060749,0.588561774,0.423968601
"113",4,785187,697858,741522.5,0.024717333,0.613279107,0.39907956
"114",5,781469,672936,727202.5,0.024240002,0.637519109,0.374600892
"115",6,774176,649131,711653.5,0.023721703,0.661240812,0.35062004
"116",7,765885,622176,694030.5,0.023134272,0.684375084,0.327192052
"117",8,751962,593136,672549,0.022418225,0.706793309,0.304415804
"118",9,736583,563276,649929.5,0.021664244,0.728457553,0.282374569
"119",10,718463,532573,625518,0.02085053,0.749308083,0.261117182
"120",11,697858,502498,600178,0.020005866,0.769313949,0.240688984
"121",12,672936,469969,571452.5,0.019048353,0.788362302,0.221161874
"122",13,649131,439261,544196,0.018139806,0.806502108,0.202567795
"123",14,622176,408718,515447,0.017181509,0.823683617,0.184907138
"124",15,593136,377686,485411,0.016180312,0.839863929,0.168226227
"125",16,563276,348806,456041,0.015201315,0.855065244,0.152535414
"126",17,532573,320084,426328.5,0.014210902,0.869276146,0.137829305
"127",18,502498,291989,397243.5,0.013241405,0.882517551,0.124103152
"128",19,469969,265709,367839,0.012261259,0.89477881,0.11135182
"129",20,439261,240023,339642,0.011321362,0.906100172,0.099560509
"130",21,408718,216684,312701,0.010423332,0.916523504,0.088688162
"131",22,377686,194261,285973.5,0.009532418,0.926055922,0.078710287
"132",23,348806,173690,261248,0.008708237,0.934764159,0.06958996
"133",24,320084,153764,236924,0.00789744,0.942661599,0.061287121
"134",25,291989,136212,214100.5,0.007136659,0.949798258,0.0537700719999999
"135",26,265709,119282,192495.5,0.006416495,0.956214753,0.046993494
"136",27,240023,104753,172388,0.005746247,0.961961,0.040912124
"137",28,216684,91334,154009,0.005133616,0.967094616,0.035472192
"138",29,194261,79316,136788.5,0.004559601,0.971654217,0.030625584
"139",30,173690,67987,120838.5,0.004027936,0.975682153,0.026331815
"140",31,153764,58980,106372,0.003545721,0.979227874,0.022544986
"141",32,136212,50017,93114.5,0.003103806,0.98233168,0.019220223
"142",33,119282,42650,80966,0.002698858,0.985030538,0.0163188909999999
"143",34,104753,35738,70245.5,0.002341509,0.987372047,0.013798708
"144",35,91334,30233,60783.5,0.00202611,0.989398157,0.011614898
"145",36,79316,25334,52325,0.001744161,0.991142318,0.00972976199999998
"146",37,67987,21147,44567,0.001485562,0.99262788,0.00811490100000001
"147",38,58980,17347,38163.5,0.001272112,0.993899992,0.00673606400000004
"148",39,50017,14224,32120.5,0.00107068,0.994970672,0.00556466799999999
"149",40,42650,11796,27223,0.00090743,0.995878102,0.00457561299999998
"150",41,35738,9524,22631,0.000754364,0.996632466,0.00374471600000004
"151",42,30233,7712,18972.5,0.000632415,0.997264881,0.00305132699999999
"152",43,25334,6204,15769,0.000525632,0.997790513,0.00247230300000001
"153",44,21147,5022,13084.5,0.000436149,0.998226662,0.00199141199999997
"154",45,17347,3930,10638.5,0.000354615,0.998581277,0.00159602999999997
"155",46,14224,2994,8609,0.000286966,0.998868243,0.00127524000000001
"156",47,11796,2452,7124,0.000237466,0.999105709,0.00101302400000003
"157",48,9524,1871,5697.5,0.000189916,0.999295625,0.000799333000000013
"158",49,7712,1501,4606.5,0.000153549,0.999449174,0.00062759999999995
"159",50,6204,1143,3673.5,0.00012245,0.999571624,0.000489600999999951
"160",51,5022,840,2931,9.77e-05,0.999669324,0.000379526000000019
"161",52,3930,629,2279.5,7.5983e-05,0.999745307,0.000292684000000043
"162",53,2994,512,1753,5.8433e-05,0.99980374,0.000225476000000002
"163",54,2452,361,1406.5,4.6883e-05,0.999850623,0.000172818000000019
"164",55,1871,282,1076.5,3.5883e-05,0.999886506,0.000131435999999985
"165",56,1501,208,854.5,2.8483e-05,0.999914989,9.92530000000214e-05
"166",57,1143,154,648.5,2.1617e-05,0.999936606,7.42019999999677e-05
"167",58,840,104,472,1.5733e-05,0.999952339,5.55279999999714e-05
"168",59,629,70,349.5,1.165e-05,0.999963989,4.18359999999618e-05
"169",60,512,53,282.5,9.417e-06,0.999973406,3.13020000000108e-05
"170",61,361,44,202.5,6.75e-06,0.999980156,2.32190000000188e-05
"171",62,282,27,154.5,5.15e-06,0.999985306,1.72689999999864e-05
"172",63,208,25,116.5,3.883e-06,0.999989189,1.27519999999492e-05
"173",64,154,16,85,2.833e-06,0.999992022,9.39399999999591e-06
"174",65,104,13,58.5,1.95e-06,0.999993972,7.00300000000542e-06
"175",66,70,11,40.5,1.35e-06,0.999995322,5.35300000004124e-06
"176",67,53,6,29.5,9.83e-07,0.999996305,4.18599999996161e-06
"177",68,44,2,23,7.67e-07,0.999997072,3.31200000003307e-06
"178",69,27,1,14,4.67e-07,0.999997539,2.69399999996978e-06
"179",70,25,2,13.5,4.5e-07,0.999997989,2.23600000004431e-06
"180",71,16,1,8.5,2.83e-07,0.999998272,1.86899999998769e-06
"181",72,13,1,7,2.33e-07,0.999998505,1.61200000003969e-06
"182",73,11,1,6,2e-07,0.999998705,1.39499999995962e-06
"183",74,6,1,3.5,1.17e-07,0.999998822,1.23600000001556e-06
"184",75,2,1,1.5,5e-08,0.999998872,1.15300000003149e-06
"185",76,1,1,1,3.3e-08,0.999998905,1.1119999999698e-06
"186",77,2,1,1.5,5e-08,0.999998955,1.07000000004742e-06
"187",78,1,1,1,3.3e-08,0.999998988,1.02800000001402e-06
"188",79,1,1,1,3.3e-08,0.999999021,9.96000000030861e-07
"189",80,1,1,1,3.3e-08,0.999999054,9.61999999993246e-07
"190",81,1,1,1,3.3e-08,0.999999087,9.30000000010089e-07
"191",82,1,1,1,3.3e-08,0.99999912,8.95999999972474e-07
"192",83,1,1,1,3.3e-08,0.999999153,8.63999999989318e-07
"193",84,1,1,1,3.3e-08,0.999999186,8.29999999951703e-07
"194",85,1,1,1,3.3e-08,0.999999219,7.97999999968546e-07
"195",86,1,1,1,3.3e-08,0.999999252,7.64000000041953e-07
"196",87,1,1,1,3.3e-08,0.999999285,7.31999999947774e-07
"197",88,1,1,1,3.3e-08,0.999999318,6.989999999929e-07
"198",89,1,1,1,3.3e-08,0.999999351,6.66000000038025e-07
"199",90,1,1,1,3.3e-08,0.999999384,6.3200000000041e-07
"200",91,1,1,1,3.3e-08,0.999999417,6.00000000017253e-07
"201",92,1,1,1,3.3e-08,0.99999945,5.65999999979638e-07
"202",93,1,1,1,3.3e-08,0.999999483,5.33999999996482e-07
"203",94,1,1,1,3.3e-08,0.999999516,4.99999999958867e-07
"204",95,1,1,1,3.3e-08,0.999999549,4.6799999997571e-07
"205",96,1,1,1,3.3e-08,0.999999582,4.34000000049117e-07
"206",97,1,1,1,3.3e-08,0.999999615,4.0099999998322e-07
"207",98,1,1,1,3.3e-08,0.999999648,3.69000000000064e-07
"208",99,1,1,1,3.3e-08,0.999999681,3.36000000045189e-07
"209",100,1,1,1,3.3e-08,0.999999714,3.02000000007574e-07
"210",101,1,1,1,3.3e-08,0.999999747,2.70000000024417e-07
"211",102,1,1,1,3.3e-08,0.99999978,2.35999999986802e-07
"212",103,1,1,1,3.3e-08,0.999999813,2.04000000003646e-07
"213",104,1,1,1,3.3e-08,0.999999846,1.69999999966031e-07
"214",105,1,1,1,3.3e-08,0.999999879,1.37999999982874e-07
"215",106,1,1,1,3.3e-08,0.999999912,1.03999999945259e-07
"216",107,1,1,1,3.3e-08,0.999999945,7.09999999903843e-08
"217",108,1,1,1,3.3e-08,0.999999978,3.90000000072277e-08
