,permutationScore,n,nRev,nSmooth,pmf,cdf,cdfContCor
1,-63,1,NA,1,9.99993000049E-06,0.001,0.001
2,-62,NA,NA,0,0,0.001,0.001
3,-61,NA,NA,0,0,0.001,0.001
4,-60,NA,NA,0,0,0.001,0.001
5,-59,NA,NA,0,0,0.001,0.001
6,-58,NA,NA,0,0,0.001,0.001
7,-57,NA,1,1,9.99993000049E-06,0.001,0.001
8,-56,2,2,2,1.999986000098E-05,0.001,0.001
9,-55,2,1,1.5,1.4999895000735E-05,0.001,0.001
10,-54,3,2,2.5,2.4999825001225E-05,0.001,0.001
11,-53,5,3,4,3.999972000196E-05,0.001,0.001
12,-52,7,5,6,5.999958000294E-05,0.001,0.001
13,-51,9,2,5.5,5.4999615002695E-05,0.001,0.001
14,-50,4,2,3,2.999979000147E-05,0.001,0.001
15,-49,11,9,10,9.99993000049E-05,0.001,0.001
16,-48,13,13,13,0.000129999090006,0.001,0.001
17,-47,13,12,12.5,0.000124999125006,0.001,0.001
18,-46,20,14,17,0.000169998810008,0.001,0.001
19,-45,25,21,23,0.000229998390011,0.001,0.001
20,-44,30,37,33.5,0.000334997655016,0.001,0.001
21,-43,31,31,31,0.000309997830015,0.001,0.001
22,-42,46,27,36.5,0.000364997445018,0.001,0.001
23,-41,56,55,55.5,0.000554996115027,0.001,0.001
24,-40,72,74,73,0.000729994890036,0.001,0.001
25,-39,68,72,70,0.000699995100034,0.001,0.001
26,-38,101,102,101.5,0.00101499289505,0.01,0.0055
27,-37,122,121,121.5,0.00121499149506,0.01,0.01
28,-36,160,157,158.5,0.001584988905078,0.01,0.01
29,-35,157,171,164,0.00163998852008,0.01,0.01
30,-34,237,174,205.5,0.002054985615101,0.01,0.01
31,-33,207,207,207,0.002069985510101,0.01,0.01
32,-32,266,249,257.5,0.002574981975126,0.02,0.015
33,-31,306,283,294.5,0.002944979385144,0.02,0.02
34,-30,362,345,353.5,0.003534975255173,0.02,0.02
35,-29,414,405,409.5,0.004094971335201,0.03,0.025
36,-28,421,433,427,0.004269970110209,0.03,0.03
37,-27,475,520,497.5,0.004974965175244,0.04,0.035
38,-26,572,555,563.5,0.005634960555276,0.04,0.04
39,-25,651,660,655.5,0.006554954115321,0.05,0.045
40,-24,713,733,723,0.007229949390354,0.06,0.055
41,-23,838,807,822.5,0.008224942425403,0.06,0.06
42,-22,888,887,887.5,0.008874937875435,0.07,0.065
43,-21,968,973,970.5,0.009704932065476,0.08,0.075
44,-20,1030,1083,1056.5,0.010564926045518,0.09,0.085
45,-19,1198,1145,1171.5,0.011714917995574,0.1,0.095
46,-18,1316,1297,1306.5,0.01306490854564,0.12,0.11
47,-17,1388,1393,1390.5,0.013904902665681,0.13,0.125
48,-16,1469,1463,1466,0.014659897380718,0.15,0.14
49,-15,1604,1581,1592.5,0.01592488852578,0.16,0.155
50,-14,1749,1747,1748,0.017479877640857,0.18,0.17
51,-13,1819,1875,1847,0.018469870710905,0.2,0.19
52,-12,1940,1895,1917.5,0.01917486577594,0.22,0.21
53,-11,2096,2081,2088.5,0.020884853806023,0.24,0.23
54,-10,2089,2219,2154,0.021539849221056,0.26,0.25
55,-9,2269,2219,2244,0.0224398429211,0.28,0.27
56,-8,2342,2388,2365,0.023649834451159,0.31,0.295
57,-7,2356,2466,2411,0.024109831231181,0.33,0.32
58,-6,2499,2548,2523.5,0.025233823363237,0.36,0.345
59,-5,2551,2512,2531.5,0.02531382280324,0.38,0.37
60,-4,2473,2609,2541,0.025408822138245,0.41,0.395
61,-3,2652,2558,2605,0.026048817658276,0.43,0.42
62,-2,2769,2712,2740.5,0.027403808173343,0.46,0.445
63,-1,2761,2715,2738,0.027378808348342,0.49,0.475
64,0,2683,2683,2683,0.026828812198315,0.51,0.5
65,1,2715,2761,2738,0.027378808348342,0.54,0.475
66,2,2712,2769,2740.5,0.027403808173343,0.57,0.445
67,3,2558,2652,2605,0.026048817658276,0.59,0.42
68,4,2609,2473,2541,0.025408822138245,0.62,0.395
69,5,2512,2551,2531.5,0.02531382280324,0.64,0.37
70,6,2548,2499,2523.5,0.025233823363237,0.67,0.345
71,7,2466,2356,2411,0.024109831231181,0.69,0.32
72,8,2388,2342,2365,0.023649834451159,0.72,0.295
73,9,2219,2269,2244,0.0224398429211,0.74,0.27
74,10,2219,2089,2154,0.021539849221056,0.76,0.25
75,11,2081,2096,2088.5,0.020884853806023,0.78,0.23
76,12,1895,1940,1917.5,0.01917486577594,0.8,0.21
77,13,1875,1819,1847,0.018469870710905,0.82,0.19
78,14,1747,1749,1748,0.017479877640857,0.84,0.17
79,15,1581,1604,1592.5,0.01592488852578,0.85,0.155
80,16,1463,1469,1466,0.014659897380718,0.87,0.14
81,17,1393,1388,1390.5,0.013904902665681,0.88,0.125
82,18,1297,1316,1306.5,0.01306490854564,0.9,0.11
83,19,1145,1198,1171.5,0.011714917995574,0.91,0.095
84,20,1083,1030,1056.5,0.010564926045518,0.92,0.085
85,21,973,968,970.5,0.009704932065476,0.93,0.075
86,22,887,888,887.5,0.008874937875435,0.94,0.065
87,23,807,838,822.5,0.008224942425403,0.94,0.06
88,24,733,713,723,0.007229949390354,0.95,0.055
89,25,660,651,655.5,0.006554954115321,0.96,0.045
90,26,555,572,563.5,0.005634960555276,0.96,0.04
91,27,520,475,497.5,0.004974965175244,0.97,0.035
92,28,433,421,427,0.004269970110209,0.97,0.03
93,29,405,414,409.5,0.004094971335201,0.98,0.025
94,30,345,362,353.5,0.003534975255173,0.98,0.02
95,31,283,306,294.5,0.002944979385144,0.98,0.02
96,32,249,266,257.5,0.002574981975126,0.99,0.015
97,33,207,207,207,0.002069985510101,0.99,0.01
98,34,174,237,205.5,0.002054985615101,0.99,0.01
99,35,171,157,164,0.00163998852008,0.99,0.01
100,36,157,160,158.5,0.001584988905078,0.99,0.01
101,37,121,122,121.5,0.00121499149506,0.99,0.01
102,38,102,101,101.5,0.00101499289505,0.999,0.0055
103,39,72,68,70,0.000699995100034,0.999,0.001
104,40,74,72,73,0.000729994890036,0.999,0.001
105,41,55,56,55.5,0.000554996115027,0.999,0.001
106,42,27,46,36.5,0.000364997445018,0.999,0.001
107,43,31,31,31,0.000309997830015,0.999,0.001
108,44,37,30,33.5,0.000334997655016,0.999,0.001
109,45,21,25,23,0.000229998390011,0.999,0.001
110,46,14,20,17,0.000169998810008,0.999,0.001
111,47,12,13,12.5,0.000124999125006,0.999,0.001
112,48,13,13,13,0.000129999090006,0.999,0.001
113,49,9,11,10,9.99993000049E-05,0.999,0.001
114,50,2,4,3,2.999979000147E-05,0.999,0.001
115,51,2,9,5.5,5.4999615002695E-05,0.999,0.001
116,52,5,7,6,5.999958000294E-05,0.999,0.001
117,53,3,5,4,3.999972000196E-05,0.999,0.001
118,54,2,3,2.5,2.4999825001225E-05,0.999,0.001
119,55,1,2,1.5,1.4999895000735E-05,0.999,0.001
120,56,2,2,2,1.999986000098E-05,0.999,0.001
121,57,1,NA,1,9.99993000049E-06,0.999,0.001
122,58,NA,NA,0,0,0.999,0.001
123,59,NA,NA,0,0,0.999,0.001
124,60,NA,NA,0,0,0.999,0.001
125,61,NA,NA,0,0,0.999,0.001
126,62,NA,NA,0,0,0.999,0.001
127,63,NA,1,1,9.99993000049E-06,0.999,0.001
