Score,Pair6,Pair7,Pair8,Pair9,Pair6cc,Pair7cc,Pair8cc,Pair9cc
-38,0,0,0,0,0.001,0.001,0.001,0.001
-37,0,0,0,0.01,0.001,0.001,0.001,0.005
-36,0,0,0,0.01,0.001,0.001,0.001,0.01
-35,0,0,0.01,0.01,0.001,0.001,0.005,0.01
-34,0,0,0.01,0.01,0.001,0.001,0.01,0.01
-33,0,0.01,0.01,0.01,0.001,0.005,0.01,0.01
-32,0,0.01,0.01,0.02,0.001,0.01,0.01,0.015
-31,0,0.01,0.01,0.02,0.001,0.01,0.01,0.02
-30,0.01,0.01,0.02,0.02,0.005,0.01,0.015,0.02
-29,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.025
-28,0.01,0.02,0.02,0.03,0.01,0.015,0.02,0.03
-27,0.01,0.02,0.03,0.04,0.01,0.02,0.025,0.035
-26,0.02,0.02,0.03,0.04,0.015,0.02,0.03,0.04
-25,0.02,0.03,0.04,0.05,0.02,0.025,0.035,0.045
-24,0.02,0.03,0.04,0.05,0.02,0.03,0.04,0.05
-23,0.03,0.04,0.05,0.06,0.025,0.035,0.045,0.055
-22,0.04,0.05,0.06,0.07,0.035,0.045,0.055,0.065
-21,0.04,0.06,0.07,0.08,0.04,0.055,0.065,0.075
-20,0.05,0.07,0.08,0.09,0.045,0.065,0.075,0.085
-19,0.06,0.08,0.09,0.1,0.055,0.075,0.085,0.095
-18,0.07,0.09,0.1,0.12,0.065,0.085,0.095,0.11
-17,0.09,0.1,0.12,0.13,0.08,0.095,0.11,0.125
-16,0.1,0.12,0.13,0.15,0.095,0.11,0.125,0.14
-15,0.12,0.13,0.15,0.16,0.11,0.125,0.14,0.155
-14,0.13,0.15,0.17,0.18,0.125,0.14,0.16,0.17
-13,0.15,0.17,0.19,0.2,0.14,0.16,0.18,0.19
-12,0.17,0.19,0.21,0.22,0.16,0.18,0.2,0.21
-11,0.19,0.21,0.23,0.24,0.18,0.2,0.22,0.23
-10,0.22,0.23,0.25,0.26,0.205,0.22,0.24,0.25
-9,0.24,0.26,0.27,0.28,0.23,0.245,0.26,0.27
-8,0.27,0.28,0.3,0.31,0.255,0.27,0.285,0.295
-7,0.3,0.31,0.32,0.33,0.285,0.295,0.31,0.32
-6,0.33,0.34,0.35,0.36,0.315,0.325,0.335,0.345
-5,0.36,0.37,0.37,0.38,0.345,0.355,0.36,0.37
-4,0.39,0.39,0.4,0.41,0.375,0.38,0.385,0.395
-3,0.42,0.42,0.43,0.43,0.405,0.405,0.415,0.42
-2,0.45,0.45,0.46,0.46,0.435,0.435,0.445,0.445
-1,0.48,0.48,0.49,0.49,0.465,0.465,0.475,0.475
0,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5
1,0.55,0.55,0.54,0.54,0.465,0.465,0.475,0.475
2,0.58,0.58,0.57,0.57,0.435,0.435,0.445,0.445
3,0.61,0.61,0.61,0.59,0.405,0.405,0.41,0.42
4,0.64,0.63,0.63,0.62,0.375,0.38,0.38,0.395
5,0.67,0.66,0.65,0.64,0.345,0.355,0.36,0.37
6,0.7,0.69,0.68,0.67,0.315,0.325,0.335,0.345
7,0.73,0.72,0.7,0.69,0.285,0.295,0.31,0.32
8,0.76,0.74,0.73,0.72,0.255,0.27,0.285,0.295
9,0.78,0.77,0.75,0.74,0.23,0.245,0.26,0.27
10,0.81,0.79,0.77,0.76,0.205,0.22,0.24,0.25
11,0.83,0.81,0.79,0.78,0.18,0.2,0.22,0.23
12,0.85,0.83,0.81,0.8,0.16,0.18,0.2,0.21
13,0.87,0.85,0.83,0.82,0.14,0.16,0.18,0.19
14,0.89,0.87,0.85,0.84,0.12,0.14,0.16,0.17
15,0.9,0.88,0.87,0.85,0.105,0.125,0.14,0.155
16,0.91,0.9,0.88,0.87,0.095,0.11,0.125,0.14
17,0.94,0.91,0.9,0.88,0.075,0.095,0.11,0.125
18,0.94,0.92,0.91,0.9,0.06,0.085,0.095,0.11
19,0.95,0.93,0.92,0.91,0.055,0.075,0.085,0.095
20,0.96,0.94,0.93,0.92,0.045,0.065,0.075,0.085
21,0.96,0.95,0.94,0.93,0.04,0.055,0.065,0.075
22,0.97,0.96,0.95,0.94,0.035,0.045,0.055,0.065
23,0.98,0.97,0.96,0.94,0.025,0.035,0.045,0.06
24,0.98,0.97,0.96,0.95,0.02,0.03,0.04,0.055
25,0.98,0.98,0.97,0.96,0.02,0.025,0.035,0.045
26,0.99,0.98,0.97,0.96,0.015,0.02,0.03,0.04
27,0.99,0.98,0.98,0.97,0.01,0.02,0.025,0.035
28,0.99,0.99,0.98,0.97,0.01,0.015,0.02,0.03
29,0.99,0.99,0.98,0.98,0.01,0.01,0.02,0.025
30,1,0.99,0.99,0.98,0.005,0.01,0.015,0.02
31,1,0.99,0.99,0.98,0,0.01,0.01,0.02
32,1,0.99,0.99,0.99,0,0.01,0.01,0.015
33,1,1,0.99,0.99,0,0.005,0.01,0.01
34,1,1,0.99,0.99,0,0,0.01,0.01
35,1,1,1,0.99,0,0,0.005,0.01
36,1,1,1,0.99,0,0,0,0.01
37,1,1,1,1,0,0,0,0.005
