score,probLookup
-25,0.0006589
-24,0.0006589
-23,0.0006589
-22,0.0006589
-21,0.0006589
-20,0.0006589
-19,0.0006589
-18,0.0006589
-17,0.0006589
-16,0.0006589
-15,0.0006589
-14,0.001464
-13,0.003036
-12,0.005916
-11,0.01088
-10,0.01899
-9,0.03153
-8,0.04997
-7,0.07583
-6,0.1104
-5,0.1546
-4,0.2087
-3,0.272
-2,0.3432
-1,0.4201
0,0.5
1,0.5799
2,0.6568
3,0.728
4,0.7913
5,0.8454
6,0.8896
7,0.9242
8,0.95
9,0.9685
10,0.981
11,0.9891
12,0.9941
13,0.997
14,0.9985
15,0.9993
16,0.9993
17,0.9993
18,0.9993
19,0.9993
20,0.9993
21,0.9993
22,0.9993
23,0.9993
24,0.9993
25,0.9993
